,videoId,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,scanTimeStamp,Epoch,firstTrendingTime,timeToTrendSeconds,isTrend
228,K4GQRiuNpP0,2023-12-17 16:00:33+00:00,1990000,1,2773,Now,Howto & Style,FR,307450,13000.0,440.0,False,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,119002.763489024,True
229,9RhWXPcKBI8,2023-12-16 17:00:01+00:00,219000000,2,1627,Now,Entertainment,FR,63748137,3000000.0,50000.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,201834.763489024,True
230,aZOiDNzoeWQ,2023-12-17 10:17:24+00:00,9190000,3,1679,Now,Entertainment,FR,986533,64000.0,1700.0,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,139591.763489024,True
231,M9p7xS8nKFg,2023-12-17 22:05:56+00:00,985000,4,11341,Now,Sports,FR,229751,11000.0,166.0,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,97079.763489024,True
232,FuNLTys8xtQ,2023-12-17 15:41:08+00:00,2510000,5,390,Now,Comedy,FR,308375,39000.0,619.0,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,120167.763489024,True
233,vvnlLGFv2mI,2023-12-17 11:00:45+00:00,1540000,6,2208,Now,Autos & Vehicles,FR,597415,43000.0,1200.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,136990.763489024,True
234,4R7vRFGJr3k,2023-12-17 14:59:58+00:00,28400000,7,191,Now,Music,FR,4179660,462000.0,44000.0,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,122637.763489024,True
235,Ap7qPHeZcgM,2023-12-17 07:18:06+00:00,1380000,8,481,Now,Entertainment,FR,328400,5000.0,354.0,False,"['colby covington', 'donald trump', 'droitufc', 'leon edwards', 'mma', 'sports de combat', 'ufc']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,150349.763489024,True
236,6f1Bg-fqBRg,2023-12-17 10:00:12+00:00,367000,9,2566,Now,Entertainment,FR,127510,11000.0,437.0,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,140623.763489024,True
237,tfht2Piljo8,2023-12-17 12:07:22+00:00,492000,10,334,Now,Entertainment,FR,376697,2900.0,1500.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,132993.763489024,True
238,pIqARNahjJw,2023-12-17 18:00:30+00:00,564000,11,545,Now,Science & Technology,FR,130088,15000.0,495.0,True,"['iphone', 'apple', 'imessage', 'rcs', 'bulle bleue', 'bulle verte', 'léo duff', 'beeper', 'android', 'ios']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,111805.763489024,True
239,n4hyVsz7FMA,2023-12-17 09:00:27+00:00,2430000,12,2988,Now,Entertainment,FR,114104,10000.0,328.0,True,"['horia', 'youtubeuse', 'true crime', 'thread horreur', 'Horia horreur', 'horroria', 'histoire horreur', 'la sombre histoire de', 'sombre histoire Horia', 'Lady Diana', 'la sombre histoire de lady diana', 'sombre histoire lady diana', 'lady diana reportage', 'lady diana documentaire', 'famille royale', 'prince charles', 'reine elisabeth', 'aromazone', 'skincare', 'mystère', 'étrange', 'lady diana mystère', 'histoire de lady diana', 'lady di', 'princesse diana', 'théories', 'lady diana théories', 'affaire', 'histoire lady di']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,144208.763489024,True
240,usTqmg0xNZY,2023-12-15 16:22:26+00:00,7240000,13,2246,Now,Entertainment,FR,1858715,170000.0,4600.0,True,"['mcfly', 'carlito', 'golden moustache', 'fatshow', 'badass', 'dab', ""j'effectue"", 'le', 'et', 'on', 'appelle', 'des', 'gens', 'au', 'hasard']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,290489.763489024,True
241,SwlRSu0jjyU,2023-12-17 16:25:00+00:00,8330000,14,985,Now,Comedy,FR,1616536,120000.0,1200.0,True,"['amixem', 'humour', 'delire']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,117535.763489024,True
242,FrTfxDY2eyI,2023-12-17 16:23:46+00:00,315000,15,621,Now,Comedy,FR,95203,13000.0,364.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,117609.763489024,True
243,ziq9BzdRvwY,2023-12-17 18:00:28+00:00,146000,16,3163,Now,Entertainment,FR,140484,6900.0,172.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,111807.763489024,True
244,W_l0npDNILY,2023-12-17 13:00:31+00:00,2560000,17,966,Now,Gaming,FR,553484,42000.0,391.0,True,"['terracid', 'laink', 'wankil', 'lego', 'fortnite', 'minecraft', 'build', 'construction']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,129804.763489024,True
245,NGfpot1_2Is,2023-12-17 11:00:12+00:00,548000,18,2023,Now,Howto & Style,FR,99623,9100.0,381.0,True,"['honeyshay', 'honey shay', 'Chaiyna', 'comores', 'lifestyle', 'beauté', 'vlog', 'famille', 'family game', 'habitue toi', 'Family', 'Family Games', 'Océane', 'Yoan', 'Yo4real']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,137023.763489024,True
246,TOIAdoDwYYs,2023-12-17 09:30:05+00:00,230000,19,1207,Now,Gaming,FR,94715,8400.0,246.0,True,"['pokemon random', 'choisi ton starter', 'choisi ton pokemon', 'challenge pokemon', 'randomizer pokemon violet', 'randomizer pokemon ecarlate']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,142430.763489024,True
247,uKpgHMkjF_8,2023-12-17 16:30:12+00:00,92100,20,1445,Now,Film & Animation,FR,55512,5400.0,337.0,False,"['film', 'films', 'chronique', 'cinema', 'saga', 'humour', 'analyse', 'box office', 'critique', 'resume', 'la suite de trop', 'video', 'youtube', 'critique cinema', 'critique de film', 'Cinéphile', 'Noel', 'Christmas', 'Aladdin', 'Le Roi Lion', 'La Belle et le Bete', 'Pocahontas', 'Disney', 'Le Retour de Jafar', 'Karime Debbache', 'Crossed', 'Chroma', 'Guillaume Cassar', 'Notserious', 'la petite sirene', 'mickey', 'La petite sirene 2', 'La Belle et le Clochard', 'La Belle et le Clochard 2', 'Le Bossu de Notre Dame', 'Cendrillon', 'PeterPan', 'Les 101 Dalmatiens', 'Cruella', 'Tarzan']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,117223.763489024,True
248,LY0Ll7LRYDI,2023-12-17 17:09:58+00:00,5430000,21,953,Now,Entertainment,FR,772803,64000.0,4200.0,True,"['seb la frite', 'seb', 'ce mec', 'seblafrite', 'sebastien frit', 'histoire', 'incroyable', 'mystère', 'musique', 'documentaire', 'Tecktonik', 'danse electro', 'metropolis', 'rungis', 'teck tonik', 'story', 'France']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,114837.763489024,True
249,lTmJJ3AGizk,2023-12-17 12:00:30+00:00,106000,22,1456,Now,Gaming,FR,96931,4500.0,267.0,False,"['jeux vidéo', 'gaming', 'clip', 'twitch', 'twitchfr', 'montage', 'best of', 'shorts', 'tiktok', 'humour', 'drole', 'wii sports', 'wii sports resort', 'matt', 'wii']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,133405.763489024,True
250,SG065LnQ08Q,2023-12-16 18:02:38+00:00,688000,23,1941,Now,Entertainment,FR,195175,14000.0,200.0,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,198077.763489024,True
251,WG4FIkH6HU8,2023-12-17 17:00:10+00:00,412000,24,690,Now,Entertainment,FR,69783,4300.0,99.0,True,"['Ski', 'Freeride', 'extreme', 'Bimboes', 'Mickael', 'mickael bimboes', 'Freeride world tour', 'winteractivity', 'winter activity', 'winter', 'brutisode', 'snowboard', 'vtt', 'parapente', 'montagne', 'prank', 'scandale', 'backflip', 'freestyle', 'équipe', 'skiing', 'neige', 'film', 'avalanche', 'vlog', 'antagonist', 'gopro', 'dji', 'world', 'mtb', 'downhill', 'tricks', 'trick', 'fail', 'fails', 'best', 'chamonix', 'audi', 'yeah']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,115425.763489024,True
252,igsQae0v0HQ,2023-12-17 17:00:27+00:00,618000,25,1342,Now,Howto & Style,FR,178845,12000.0,104.0,True,['mayadorable'],2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,115408.763489024,True
253,DmdcktG7vXM,2023-12-17 18:49:02+00:00,58500,26,167,Now,Music,FR,31183,4600.0,3200.0,False,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,108893.763489024,True
254,6X1Ko_TExuM,2023-12-16 11:45:00+00:00,34800,27,810,Now,Entertainment,FR,300841,5700.0,272.0,False,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,220735.763489024,True
255,gRb87CBRZ2o,2023-12-17 11:00:27+00:00,319000,28,1592,Now,Film & Animation,FR,57707,4500.0,353.0,True,"['Cinéma', 'Durendal', 'Film', 'Vlog', 'Critique', 'Super Mario Bros', 'The Movie', 'Le Film', 'Aaron Horvath', 'Michael Jelenic', 'Chris Pratt', 'Anya Taylor-Joy', 'Jack Black', 'Seth Rogen', 'Jeu Vidéo', 'Aventure', 'Action']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,137008.763489024,True
256,P0rMYaKFO7k,2023-12-17 16:00:01+00:00,253000,29,659,Now,Film & Animation,FR,57600,8300.0,534.0,True,"['Neuxs 6', 'Neuxs VI', 'Nexus 6', 'Science-Fiction', 'France', 'Metz', 'Blida', 'Fensch Toast', 'Science Fiction', 'Arnold Schwarzenegger', 'Linda Hamilton', 'Kyle Reese', 'T1000']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,119034.763489024,True
257,spmAWUn0k40,2023-12-17 17:52:44+00:00,707000,30,859,Now,Sports,FR,85958,1500.0,76.0,True,"['champions cup', 'harlequins', 'rugby', 'sport', 'stade toulousain']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,112271.763489024,True
258,6oLB9vDNvI0,2023-12-15 17:47:00+00:00,2100000,31,394,Now,Entertainment,FR,701513,17000.0,616.0,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,285415.763489024,True
259,jply2m0IoYs,2023-12-17 09:26:50+00:00,235000,32,104,Now,News & Politics,FR,130649,260.0,597.0,True,"['TF1', 'beauté', 'concours', 'feminism washing', 'france', 'féminisme', 'justice', 'miss', 'miss nord-pas-de-calais', 'média', 'police', 'sexisme', 'télévision', 'Ève Gilles']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,142625.763489024,True
260,icGwtYWesWw,2023-12-17 22:19:35+00:00,2040000,33,596,Now,Sports,FR,398834,8200.0,309.0,True,"['résumé', 'highlights', 'real', 'de', 'madrid', 'villarreal', 'jude', 'bellingham', 'brahim', 'diaz', 'rodrygo', 'vini', 'vinicius', 'junior', 'jr', 'endrick', 'luka', 'modric', 'la', 'liga', 'foot', 'football', 'club', 'fc']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,96260.763489024,True
261,k51hM1cEgcs,2023-12-17 18:00:21+00:00,1030000,34,764,Now,Science & Technology,FR,74241,3100.0,123.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,111814.763489024,True
262,-3Xvyo_-Pyg,2023-12-17 11:26:56+00:00,605000,35,1494,Now,Entertainment,FR,39507,3200.0,86.0,False,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,135419.763489024,True
263,JGP98IDCrTc,2023-12-17 16:14:52+00:00,312000,36,784,Now,Science & Technology,FR,58176,6400.0,292.0,True,"['pixmob', 'coldplay', 'the weeknd', 'taylor swift', 'imagine dragons', 'lady gaga', 'bad bunny', 'elton john', 'wristband', 'infrarouge', 'menu', 'ecologique', 'concert', 'spectacle']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,118143.763489024,True
264,Mz-J5JPxxBI,2023-12-17 10:59:33+00:00,136000,37,888,Now,Music,FR,63581,4800.0,202.0,True,"['Beendo z', 'Retour à l’école', 'École', 'Élèves', 'Rap', 'Raplume', 'Interview', 'Interview Beendo Z', 'Au tableau']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,137062.763489024,True
265,bOppj5rT2xA,2023-12-17 16:30:06+00:00,436000,38,673,Now,Entertainment,FR,39349,3400.0,44.0,True,"['FR', 'AlphaCast', 'Gameplay', 'Alfacast', 'France', 'Lynkus', 'Live', 'Twitch', 'Meilleurs moments', 'Best of', '35', 'Tablequest', 'Jeu vidéo', 'gameplay', 'drôle', 'blagues', 'rire', 'clips', 'Stream', 'Streaming', 'Alpha', 'Alfa', 'M4F', 'Ted', 'Eventis', 'Troma', 'Ted Etienne', 'AVAMIND', 'AVA', 'Gom4rt', 'Antoine Daniel', 'JDG', 'Mynthos', 'Joueur du Grenier', 'Dead Space', 'Grounded', 'Warhammer']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,117229.763489024,True
266,RrasC4E_1R8,2023-12-17 11:00:31+00:00,1130000,39,1048,Now,Entertainment,FR,105156,4700.0,258.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,137004.763489024,True
267,OBgUnwkPivg,2023-12-15 17:22:32+00:00,1950000,40,509,Now,People & Blogs,FR,864151,5800.0,657.0,False,"['guy marchand', 'hommage', 'patrick sébastien']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,286883.763489024,True
268,mWacdcatC9o,2023-12-17 06:35:44+00:00,1400000,41,52,Now,Film & Animation,FR,2901585,211000.0,10000.0,False,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,152891.763489024,True
269,BYKz4ksSFFc,2023-12-17 11:00:12+00:00,116000,42,157,Now,Music,FR,54185,3500.0,131.0,False,"['rsko chanel bag parole', 'rsko chanel bag']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,137023.763489024,True
270,HCJ2WHNpQqc,2023-12-15 11:00:17+00:00,1200000,43,171,Now,Music,FR,510435,33000.0,935.0,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,309818.763489024,True
271,BOQ1FdoBBmI,2023-12-16 08:59:24+00:00,850000,44,719,Now,Film & Animation,FR,250180,30000.0,1100.0,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,230671.763489024,True
272,sRtFQf5wQ-U,2023-12-17 23:21:13+00:00,395000,45,283,Now,People & Blogs,FR,148674,2300.0,294.0,True,"['2023/24', 'football', 'futebol', 'goals', 'golos', 'highlights', 'liga portugal', 'liga portugal betclic', 'liga portuguesa', 'portugal', 'portuguese league', 'primeira liga', 'resumo', 'season 23/24', 'soccer', 'sp:dt=2023-12-17T20:30:00Z', 'sp:li=port', 'sp:st=soccer', 'sp:ti:away=SLB', 'sp:ti:home=SCB', 'sp:ty=high']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,92562.763489024,True
273,5VojZY6p798,2023-12-17 14:49:09+00:00,916000,46,546,Now,Science & Technology,FR,62822,5000.0,344.0,True,"['TheiCollection', 'Studio TheiCollection', 'Setup TheiCollection', 'Apple', 'Tech', 'Roche Bobois', 'Polygonia Roche Bobois', 'Furtif Roche Bobois', 'Bureau Roche Bobois', 'Setup highTech', 'HighTech', 'Technologie', 'JB', 'Jojol', 'Gentil', 'Garçon', 'Astuces tournage', 'astuces', 'setup astuce', 'setup caméra', 'setup tech', 'studio tech', 'The Frame', 'Philips hue', 'Astuces Philips Hue']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,123286.763489024,True
274,qj9REJK5K3w,2023-12-17 19:53:37+00:00,2040000,47,835,Now,Sports,FR,200490,3000.0,229.0,True,"['coupe', 'du', 'monde', 'championnat', 'championnats', 'mondial', 'hand', 'handball', 'equipe', 'de', 'france', 'bleu', 'bleus', 'bleue', 'bleues', 'norvege', 'norway']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,105018.763489024,True
275,5jrMwhmYW1A,2023-12-14 15:56:41+00:00,158000,0,151,Recently Trending,Comedy,FR,929936,43000.0,2000.0,False,"['malik bentalha', 'encore', 'titanic', 'jamel comedy club', 'marrakech du rire', 'rendez-vous en terre inconnue', 'sketch', 'nouveau', 'spectacle', 'stand-up', 'entier', 'colors', 'jul', 'becan', 'show', 'sch', 'freeze corleone', 'haaarp', 'francais', 'fr', 'niska', 'tv', 'angele', 'kalash', 'chalgoumi', 'praud', 'cnews', ""l'heure de trop"", 'nouveau monde', 'pascal praud', ""l'heure des pros"", 'debat', 'islam', 'parodie', 'israel', 'palestine', 'djellaba', 'islamique', 'vetement', 'lastella', 'zemmour', 'comedy', 'comedie', 'humour', 'rap', 'freestyle', 'booska p', 'interview', 'fougasse', 'streaming', 'react', 'reaction', 'avis']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,378434.763489024,True
276,QdBZY2fkU-0,2023-12-04 23:07:10+00:00,10300000,1,90,Recently Trending,Gaming,FR,153170490,10000000.0,832000.0,True,"['Rockstar Games', 'Grand Theft Auto VI', 'GTAVI', 'GTA 6', 'GTA Six', 'Grand Theft Auto', 'GTA', 'Vice City', 'Leonida']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,1216605.763489024,True
277,LnW-DwBrWLk,2023-12-17 15:59:59+00:00,4000000,2,827,Recently Trending,Comedy,FR,499727,40000.0,565.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,119036.763489024,True
278,9gAADPMt1FU,2023-12-17 18:28:05+00:00,724000,3,1056,Recently Trending,Comedy,FR,338112,58000.0,1300.0,True,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,110150.763489024,True
279,K4GQRiuNpP0,2023-12-17 16:00:33+00:00,1990000,4,2773,Recently Trending,Howto & Style,FR,307450,13000.0,440.0,False,,2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,119002.763489024,True
280,6oLB9vDNvI0,2023-12-15 17:47:00+00:00,2100000,5,394,Recently Trending,Entertainment,FR,701513,17000.0,616.0,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,285415.763489024,True
281,HCJ2WHNpQqc,2023-12-15 11:00:17+00:00,1200000,6,171,Recently Trending,Music,FR,510419,33000.0,935.0,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,309818.763489024,True
282,pFpjyAp8aJ0,2023-12-13 11:00:46+00:00,706000,7,7828,Recently Trending,Entertainment,FR,529995,19000.0,374.0,True,['Zack Nani'],2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,482589.763489024,True
283,zePFAZMUnbU,2023-12-08 17:18:08+00:00,4910000,8,2314,Recently Trending,Howto & Style,FR,2229784,76000.0,819.0,True,"['Fastgoodcuisine', 'Fastgood', 'Fastfood', 'Qui est', 'Qui est l’imposteur', 'l’imposteur', 'Plat piégé', 'Piégé', 'Qui est le menteur', 'Le menteur', ""qui est l'imposteur"", 'Qui Aura Le Plat Piégé ?', ""qui aura l'objet piégé"", 'challenge', 'Qui est l’imposteur ?', 'inox', 'inoxtag', 'inoxtag imposteur', 'inoxtag fastgoodcuisine', 'fastgoodcuisine inoxtag', 'fastgoodcuisine inox', 'gurky', 'gurky fast food', 'gurky fastgoodcuisine', 'tacos piégé', 'fastfood piégé', 'gurky le murky']",2023-12-19 03:13:17.507140096+00:00,3,2023-12-19 01:03:55.763489024+00:00,891947.763489024,True
